model,attempt,temperature,top_p,prompt,results,baseline,score
gpt-4o-mini-2024-07-18,2,1.9,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: RB-HARPIC PASTILHA LAVANDA PROM-4790,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'RB-HARPIC PASTILHA LAVANDA PROM-4790' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos - Preparações para perfumar ou para desodorizar ambientes, incluindo as preparações odoríferas para cerimônias religiosas:  -- Agarbate e outras preparações odoríferas que atuem por combustão",
gpt-4o-mini-2024-07-18,3,0.1,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,0.1,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,0.1,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,1.0,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,1.0,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,1.0,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,1.9,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,1.9,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,3,1.9,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",
gpt-4o-mini-2024-07-18,4,0.1,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,0.1,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,0.1,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,1.0,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,1.0,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,1.0,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,1.9,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,1.9,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,4,1.9,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",
gpt-4o-mini-2024-07-18,5,0.1,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,0.1,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,0.1,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,1.0,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,1.0,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,1.0,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,1.9,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,1.9,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,5,1.9,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",
gpt-4o-mini-2024-07-18,6,0.1,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: PF SAB LIQ REXONA ANTIB FRESH REF 200ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'PF SAB LIQ REXONA ANTIB FRESH REF 200ML' é Sabões; produtos e preparações orgânicos tensoativos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo que contenham sabão; produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondi   - Produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondicionados para venda a retalho, mesmo que contenham sabão",
gpt-4o-mini-2024-07-18,6,0.1,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: PF SAB LIQ REXONA ANTIB FRESH REF 200ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'PF SAB LIQ REXONA ANTIB FRESH REF 200ML' é Sabões; produtos e preparações orgânicos tensoativos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo que contenham sabão; produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondi   - Produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondicionados para venda a retalho, mesmo que contenham sabão",
gpt-4o-mini-2024-07-18,6,0.1,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: PF SAB LIQ REXONA ANTIB FRESH REF 200ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'PF SAB LIQ REXONA ANTIB FRESH REF 200ML' é Sabões; produtos e preparações orgânicos tensoativos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo que contenham sabão; produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondi   - Produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondicionados para venda a retalho, mesmo que contenham sabão",
gpt-4o-mini-2024-07-18,6,1.0,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: PF SAB LIQ REXONA ANTIB FRESH REF 200ML,,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'PF SAB LIQ REXONA ANTIB FRESH REF 200ML' é Sabões; produtos e preparações orgânicos tensoativos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo que contenham sabão; produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondi   - Produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondicionados para venda a retalho, mesmo que contenham sabão",
